"nivpfs-nivos-ipipfs-ipios","ICER","ICER_PFS","INB","Incremental_Cost","Incremental_QALY"
"gompertz - RCS - RP_normal - gompertz",77255.3136870795,181951.371346566,-15029.4102419936,87595.196174708,1.13384040519866
"gompertz - RCS - RP_normal - RP_hazard",81106.4053274365,181951.371346566,-19717.3182812915,93485.4972673646,1.15262779665739
"gompertz - RCS - RP_normal - FP2",78498.5660903356,181951.371346566,-16526.0203715745,89475.669129308,1.13983826183959
"GAM - RP_normal - RP_odds - gompertz",72495.8685689537,178158.998813235,-9887.00304538899,84366.5209156642,1.16374246672305
"GAM - RP_normal - RP_odds - RP_hazard",76325.1949909297,178158.998813235,-14574.9110846869,90256.8220083208,1.18252985818178
"GAM - RP_normal - RP_odds - FP2",73731.7438303166,178158.998813235,-11383.6131749699,86246.9938702642,1.16974032336397
"GAM - RP_normal - RP_hazard - gompertz",60034.1660474471,167020.221553553,4646.70017119212,70341.0109922715,1.17168298692912
"GAM - RP_normal - RP_hazard - RP_hazard",64034.6147782036,167020.221553553,-41.2078681058047,76231.3120849281,1.19047037838785
"GAM - RP_normal - RP_hazard - FP2",61325.1751025669,167020.221553553,3150.09004161121,72221.4839468714,1.17768084357004
"GAM - RP_normal - RP_normal - gompertz",77288.4610268067,173410.598214917,-15174.9778751452,88260.8365046814,1.1419665410865
"GAM - RP_normal - RP_normal - RP_hazard",81112.055671342,173410.598214917,-19862.8859144431,94151.137597338,1.16075393254523
"GAM - RP_normal - RP_normal - FP2",78522.7395882051,173410.598214917,-16671.5880047261,90141.3094592813,1.14796439772742
"GAM - GAM - RP_odds - gompertz",72403.9909350479,178158.998813235,-9962.36448760953,85830.0483219654,1.18543255991181
"GAM - GAM - RP_odds - RP_hazard",76165.7779463243,178158.998813235,-14650.2725269075,91720.3494146221,1.20421995137054
"GAM - GAM - RP_odds - FP2",73617.8295081182,178158.998813235,-11458.9746171904,87710.5212765653,1.19143041655273
"GAM - GAM - RP_hazard - gompertz",60169.3968088168,167020.221553553,4571.33872897163,71804.5383985727,1.19337308011788
"GAM - GAM - RP_hazard - RP_hazard",64096.1665662755,167020.221553553,-116.569310326347,77694.8394912293,1.21216047157661
"GAM - GAM - RP_hazard - FP2",61436.3822691086,167020.221553553,3074.72859939073,73685.0113531726,1.1993709367588
"GAM - GAM - RP_normal - gompertz",77105.5320514404,173410.598214917,-15250.3393173658,89724.3639109826,1.16365663427526
"GAM - GAM - RP_normal - RP_hazard",80861.8952971471,173410.598214917,-19938.2473566637,95614.6650036392,1.18244402573399
"GAM - GAM - RP_normal - FP2",78317.8601689708,173410.598214917,-16746.9494469466,91604.8368655825,1.16965449091619
"GAM - RCS - RP_odds - gompertz",72397.252604512,178158.998813235,-9968.00223659781,85939.5340206336,1.18705518412556
"GAM - RCS - RP_odds - RP_hazard",76154.0826080007,178158.998813235,-14655.9102758957,91829.8351132902,1.20584257558429
"GAM - RCS - RP_odds - FP2",73609.474159517,178158.998813235,-11464.6123661787,87820.0069752336,1.19305304076648
"GAM - RCS - RP_hazard - gompertz",60179.3159896445,167020.221553553,4565.7009799833,71914.0240972409,1.19499570433163
"GAM - RCS - RP_hazard - RP_hazard",64100.6827824003,167020.221553553,-122.20705931462,77804.3251898975,1.21378309579036
"GAM - RCS - RP_hazard - FP2",61444.5401289936,167020.221553553,3069.0908504024,73794.4970518408,1.20099356097255
"GAM - RCS - RP_normal - gompertz",77092.1210132377,173410.598214917,-15255.977066354,89833.8496096508,1.16527925848901
"GAM - RCS - RP_normal - RP_hazard",80843.5493952407,173410.598214917,-19943.8851056519,95724.1507023074,1.18406664994774
"GAM - RCS - RP_normal - FP2",78302.8383117317,173410.598214917,-16752.5871959349,91714.3225642507,1.17127711512993
