"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"nqx - probability of dying between ages x and x+n"," 70-74 years","0.110635727","0.135094151","0.089113794","0.109623486","0.132043054","0.090298409","0.10956805","0.129021593","0.092318196","0.124242321","0.14915043","0.103172685","0.137598561","0.169328245","0.11170386"
"nqx - probability of dying between ages x and x+n"," 75-79 years","0.163046736","0.189223269","0.14150186","0.164202056","0.189589149","0.142710133","0.171751111","0.20201479","0.14750264","0.188482422","0.224677769","0.160780025","0.205361838","0.248611684","0.173524399"
"nqx - probability of dying between ages x and x+n"," 80-84 years","0.252532082","0.282688152","0.228670848","0.262141613","0.300108453","0.233725643","0.263607994","0.306599979","0.233477275","0.298111899","0.346550315","0.265819802","0.306581863","0.362787986","0.270821489"
"nqx - probability of dying between ages x and x+n"," 85+ years","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"lx - number of people left alive at age x"," &lt;1 year","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05","1.00E+05"
"lx - number of people left alive at age x"," 1-4 years","99450.68605","99403.25561","99500.30408","99380.07036","99327.99724","99434.62548","99417.29675","99365.25111","99471.80735","99347.93523","99282.58942","99416.44103","99250.9493","99177.4533","99327.63948"
"lx - number of people left alive at age x"," 5-9 years","99360.39254","99303.27924","99420.14367","99282.22306","99218.03199","99349.46968","99313.37521","99249.69924","99380.07097","99224.45841","99143.2377","99309.58712","99126.0101","99038.99673","99216.87158"
"lx - number of people left alive at age x"," 10-14 years","99299.8122","99236.20894","99366.35922","99225.35078","99154.17929","99299.90819","99256.60801","99186.75812","99329.77275","99148.58993","99062.09265","99239.24981","99048.52976","98953.02083","99148.31727"
"lx - number of people left alive at age x"," 15-19  years","99224.08267","99147.8522","99303.84269","99153.02015","99070.71323","99239.23912","99185.51462","99105.48106","99269.37208","99056.45903","98952.79618","99165.20591","98949.04719","98834.07699","99069.28076"
"lx - number of people left alive at age x"," 20-24 years","98987.52573","98820.54074","99161.9704","98916.45976","98744.01938","99096.98555","98940.15995","98760.3774","99129.57379","98734.61499","98502.17325","98980.27452","98612.24997","98365.14846","98872.12713"
"lx - number of people left alive at age x"," 25-29 years","98543.90226","98180.20565","98923.52476","98480.02325","98107.93289","98870.75217","98511.81449","98135.26461","98907.90746","98233.91217","97759.16044","98735.15378","98151.66703","97685.93283","98640.67864"
"lx - number of people left alive at age x"," 30-34 years","97971.42186","97378.77787","98591.54431","97957.20873","97372.37009","98570.80069","98027.97106","97453.94219","98627.09834","97730.68655","97032.65489","98459.66017","97701.4907","97054.04809","98378.91509"
"lx - number of people left alive at age x"," 35-39 years","97247.89101","96426.13797","98107.1969","97323.26371","96528.68616","98152.54448","97482.55","96725.47846","98267.41372","97168.75568","96284.43643","98088.80422","97161.19783","96347.99926","98014.00065"
"lx - number of people left alive at age x"," 40-44 years","96383.95244","95329.3005","97482.21821","96566.861","95563.46309","97608.46552","96798.06184","95868.94887","97757.22035","96431.82675","95365.32257","97542.69144","96384.5533","95370.72163","97447.81061"
"lx - number of people left alive at age x"," 45-49 years","95365.58544","94082.48674","96696.10659","95570.13685","94353.21035","96828.67342","95828.17336","94698.99208","96995.66626","95289.85744","93967.55283","96667.47301","95235.46374","93930.56301","96597.51079"
"lx - number of people left alive at age x"," 50-54 years","93925.88035","92374.31044","95530.80074","94105.66206","92623.93577","95640.74906","94267.01934","92824.49956","95759.55928","93598.1755","91892.02968","95369.05642","93583.31812","91840.91005","95389.1036"
"lx - number of people left alive at age x"," 55-59 years","91703.55916","89775.24745","93703.17607","91792.02883","89871.07638","93783.44708","91958.05518","90022.94367","93951.34724","91191.53588","88899.49099","93555.84684","91219.96342","88915.93844","93583.98723"
